feature,col,p_value,median_diff_wrong_minus_right,median_wrong,median_right
cdrH2_deamid,cdrH2_deamid_CDR_feature,0.6660232796027389,0.0,0.0,0.0
cdrH3_charge,cdrH3_charge_CDR_feature,0.6675039694273253,0.0,0.0,0.0
cdrH3_aromatic_frac,cdrH3_aromatic_frac_CDR_feature,0.6737577697828443,0.0,0.25,0.25
VH_isom_total,VH_isom_total_CDR_feature,0.6750561197089189,0.0,1.0,1.0
VH_deamid_total,VH_deamid_total_CDR_feature,0.6968003659038704,0.0,1.0,1.0
cdrH2_len,cdrH2_len_CDR_feature,0.713263179845542,0.0,17.0,17.0
cdrH3_deamid,cdrH3_deamid_CDR_feature,0.7346915843691642,0.0,0.0,0.0
cdrL2_isom,cdrL2_isom_CDR_feature,0.7346915843691642,0.0,0.0,0.0
cdrL2_gravy,cdrL2_gravy_CDR_feature,0.7624278027824951,0.025000000000000133,-0.6749999999999999,-0.7000000000000001
cdrH1_oxidn,cdrH1_oxidn_CDR_feature,0.787510596700989,0.0,1.0,1.0
cdrH1_deamid,cdrH1_deamid_CDR_feature,0.830730295380457,0.0,0.0,0.0
VH_hyd_frac,VH_hyd_frac_CDR_feature,0.858259097663633,0.0014957264957264904,0.3931623931623931,0.3916666666666666
cdrL1_deamid,cdrL1_deamid_CDR_feature,0.8646291176765533,0.0,0.0,0.0
cdrL1_isom,cdrL1_isom_CDR_feature,0.865710730998491,0.0,0.0,0.0
VH_glycan_total,VH_glycan_total_CDR_feature,0.8663472310565907,0.0,0.0,0.0
cdrH2_isom,cdrH2_isom_CDR_feature,0.8680092917392597,0.0,0.0,0.0
cdrL1_oxidn,cdrL1_oxidn_CDR_feature,0.877226194876552,0.0,0.0,0.0
VL_charge,VL_charge_CDR_feature,0.9028908683235506,0.0,1.0,1.0
cdrH1_charge,cdrH1_charge_CDR_feature,0.939036469930391,0.0,0.0,0.0
cdrH2_oxidn,cdrH2_oxidn_CDR_feature,0.9950179906790171,0.0,0.0,0.0
cdrL2_len,cdrL2_len_CDR_feature,1.0,0.0,8.0,8.0
cdrH3_glycan_sequon,cdrH3_glycan_sequon_CDR_feature,1.0,0.0,0.0,0.0
